slug,name,category,tvl,tvl_change_1d,tvl_change_7d,tvl_change_30d,tvl_change_90d,volume_24h,volume_7d,volume_30d,volume_change_7d,volume_change_30d,aggregator_volume_24h,aggregator_volume_30d,fees_24h,fees_30d,fees_change_30d,revenue_24h,revenue_30d,mcap,capital_turnover,momentum
gauntlet,Gauntlet,Risk Curators,7275392.891303306,-0.06281594309757565,3.5019550338613925,,,,,,,,,,0.0,0.0,,0.0,0.0,,,
save-sol,Save SOL,Liquid Staking,7165336.894428751,-0.274667041547076,20.89735538055659,,,,,,,,,,1240.0,24877.07,37.69,0.27,3.5999999999999996,,,72.3
near-bridge,NEAR Bridge,Canonical Bridge,7145535.453873949,20.427210743484395,134.27993225496223,,,,,,,,,,,,,,,,,
unitas-usdu,Unitas USDu,Basis Trading,7073404.464758727,-0.09131095948367829,2.9824261798192993,,,,,,,,,,,,,,,,,
quarry,Quarry,Yield,6730619.211876362,-0.3721292639555287,16.579034012292794,,,,,,,,,,,,,,,,,
standx-bridge,StandX Bridge,Canonical Bridge,6569137.444863766,-1.140816940554302,-2.9414072550934804,,,,,,,,,,,,,,,,,
francium,Francium,Yield,6144136.0,,,,,,,,,,,,,,,,,,,
lido,Lido,Liquid Staking,6041739.459116321,-0.7999102939297842,14.494124413884506,,,,,,,,,,,,,,,354854868.1640522,,
crypto.com-liquid-staking,Crypto.com Liquid Staking,Liquid Staking,5986543.549455401,0.3967250856641442,15.10256689263558,,,,,,,,,,1014.0,20876.829999999998,24.15,207.0,3662.8700000000003,,,65.7
goonfi,GoonFi,Dexs,5698363.96387732,-4.9573739730613795,-1.6716931845020042,,,115243366.0,695031575.0,2077806732.0,30.37,13.63,,,,,,,,,364.63215497842725,61.5
saber,Saber,Dexs,5648444.761265102,0.26841663535626026,13.00562349443382,,,345639.0,1253036.0,6587931.0,14.26,128.55,,,,378.0,-53.33,,196.0,213148.6441796762,1.1663265338412334,56.9
stakepoint,StakePoint,Token Locker,5206155.057065408,0.562196211057838,23.557611119353524,,,,,,,,,,,,,,,,,
stronghold-staked-sol,Stronghold Staked SOL,Liquid Staking,4878245.913376806,-0.449048223771058,20.75804114258733,,,,,,,,,,846.0,17025.38,22.46,22.0,389.36,,,67.3
renzo,Renzo,Liquid Restaking,4866158.660278702,-0.5939033551115642,16.502748285168806,,,,,,,,,,,,,,,36421658.234145105,,
dooar-v2,DOOAR V2,Dexs,4692662.670981115,0.510584812554697,8.64422064000658,,,57839.0,462270.0,2191533.0,-11.16,34.34,,,,,,,,,0.46701268632671755,56.1
